id_rec_arrec_detalhe;ano_exercicio;ds_municipio;ds_orgao;mes_referencia;mes_ref_extenso;ds_poder;ds_fonte_recurso;ds_cd_aplicacao_fixo;ds_cd_aplicacao_variavel;ds_categoria;ds_subcategoria;ds_fonte;ds_rubrica;ds_alinea;ds_subalinea;vl_arrecadacao;data_atualizacao
18434639;2015;Cajuru;PREFEITURA MUNICIPAL DE CAJURU;1;janeiro;EXECUTIVO;01 - TESOURO;310 - SAÚDE - GERAL;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - RECEITAS CORRENTES;11000000 - RECEITA TRIBUTÁRIA;11100000 - IMPOSTOS;11120000 - IMPOSTOS SOBRE O PATRIMÔNIO E A RENDA;11120200 - IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA;;68.81;2016-08-22 16:18:08.713045
18434640;2015;Cajuru;PREFEITURA MUNICIPAL DE CAJURU;1;janeiro;EXECUTIVO;01 - TESOURO;110 - GERAL;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - RECEITAS CORRENTES;11000000 - RECEITA TRIBUTÁRIA;11100000 - IMPOSTOS;11120000 - IMPOSTOS SOBRE O PATRIMÔNIO E A RENDA;11120200 - IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA;;275.15;2016-08-22 16:18:08.713045
18434641;2015;Cajuru;PREFEITURA MUNICIPAL DE CAJURU;1;janeiro;EXECUTIVO;01 - TESOURO;110 - GERAL;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - RECEITAS CORRENTES;11000000 - RECEITA TRIBUTÁRIA;11100000 - IMPOSTOS;11120000 - IMPOSTOS SOBRE O PATRIMÔNIO E A RENDA;11120200 - IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA;;-81.80;2016-08-22 16:18:08.713045
18434642;2015;Cajuru;PREFEITURA MUNICIPAL DE CAJURU;1;janeiro;EXECUTIVO;01 - TESOURO;200 - EDUCAÇÃO - RECURSOS ESPECÍFICOS;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - RECEITAS CORRENTES;11000000 - RECEITA TRIBUTÁRIA;11100000 - IMPOSTOS;11120000 - IMPOSTOS SOBRE O PATRIMÔNIO E A RENDA;11120200 - IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA;;114.64;2016-08-22 16:18:08.713045
18434643;2015;Cajuru;PREFEITURA MUNICIPAL DE CAJURU;1;janeiro;EXECUTIVO;01 - TESOURO;200 - EDUCAÇÃO - RECURSOS ESPECÍFICOS;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - RECEITAS CORRENTES;11000000 - RECEITA TRIBUTÁRIA;11100000 - IMPOSTOS;11120000 - IMPOSTOS SOBRE O PATRIMÔNIO E A RENDA;11120200 - IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA;;-34.08;2016-08-22 16:18:08.713045
18434644;2015;Cajuru;PREFEITURA MUNICIPAL DE CAJURU;1;janeiro;EXECUTIVO;01 - TESOURO;310 - SAÚDE - GERAL;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - RECEITAS CORRENTES;11000000 - RECEITA TRIBUTÁRIA;11100000 - IMPOSTOS;11120000 - IMPOSTOS SOBRE O PATRIMÔNIO E A RENDA;11120200 - IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA;;-20.46;2016-08-22 16:18:08.713045
18434645;2015;Cajuru;PREFEITURA MUNICIPAL DE CAJURU;1;janeiro;EXECUTIVO;01 - TESOURO;110 - GERAL;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - RECEITAS CORRENTES;11000000 - RECEITA TRIBUTÁRIA;11100000 - IMPOSTOS;11120000 - IMPOSTOS SOBRE O PATRIMÔNIO E A RENDA;11120400 - IMPOSTO SOBRE A RENDA E PROVENTOS DE QUALQUER NATUREZA;11120431 - RETIDO NAS FONTES - TRABALHO;8226.62;2016-08-22 16:18:08.713045
18434646;2015;Cajuru;PREFEITURA MUNICIPAL DE CAJURU;1;janeiro;EXECUTIVO;01 - TESOURO;200 - EDUCAÇÃO - RECURSOS ESPECÍFICOS;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - RECEITAS CORRENTES;11000000 - RECEITA TRIBUTÁRIA;11100000 - IMPOSTOS;11120000 - IMPOSTOS SOBRE O PATRIMÔNIO E A RENDA;11120400 - IMPOSTO SOBRE A RENDA E PROVENTOS DE QUALQUER NATUREZA;11120431 - RETIDO NAS FONTES - TRABALHO;3427.74;2016-08-22 16:18:08.713045
18434647;2015;Cajuru;PREFEITURA MUNICIPAL DE CAJURU;1;janeiro;EXECUTIVO;01 - TESOURO;310 - SAÚDE - GERAL;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - RECEITAS CORRENTES;11000000 - RECEITA TRIBUTÁRIA;11100000 - IMPOSTOS;11120000 - IMPOSTOS SOBRE O PATRIMÔNIO E A RENDA;11120400 - IMPOSTO SOBRE A RENDA E PROVENTOS DE QUALQUER NATUREZA;11120431 - RETIDO NAS FONTES - TRABALHO;2056.70;2016-08-22 16:18:08.713045
18434648;2015;Cajuru;PREFEITURA MUNICIPAL DE CAJURU;1;janeiro;EXECUTIVO;01 - TESOURO;200 - EDUCAÇÃO - RECURSOS ESPECÍFICOS;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - RECEITAS CORRENTES;11000000 - RECEITA TRIBUTÁRIA;11100000 - IMPOSTOS;11120000 - IMPOSTOS SOBRE O PATRIMÔNIO E A RENDA;11120800 - IMPOSTO SOBRE A TRANSMISSÃO INTER VIVOS - BENS IMÓVEIS E DIREITOS REAIS SOBRE IMÓVEIS;;9528.20;2016-08-22 16:18:08.713045
